#timestamp x y z qx qy qz qw
1787220092.47487068 4.25905758 3.46627811 -0.04517646 0.01744904 -0.00212701 -0.94467667 0.32753167
1787220094.77430248 3.29605576 4.45395713 -0.06512833 -0.01903725 0.02069655 0.74784746 0.66327477
1787220096.57485580 3.52889715 6.11938779 -0.10305269 -0.01748454 0.02592844 0.66540671 0.74582566
1787220098.27472496 3.32527446 7.37952547 -0.14576544 -0.01819784 0.02865846 0.78043641 0.62431285
1787220100.07497025 2.99828257 9.32665472 -0.19446756 -0.01736962 0.02023341 0.77014695 0.63730886
1787220101.17474413 1.97052653 10.51407665 -0.24070385 -0.02312881 0.02547784 0.97133597 0.23520708
1787220103.57476807 0.63528988 10.14388795 -0.23628332 0.02056866 -0.01897487 -0.94932242 0.31305563
1787220104.57464433 0.19770360 8.88472951 -0.20234119 0.01572451 -0.01162920 -0.78922174 0.61379682
1787220106.87477589 0.23430371 7.43591940 -0.17300994 0.00985843 -0.00444620 -0.66566453 0.74617275
1787220108.57529211 0.29308656 6.08696334 -0.13184461 0.01230667 -0.00275189 -0.68665484 0.72687420
1787220109.67461014 0.28376983 4.90412555 -0.11187620 0.01686743 -0.00455051 -0.70421323 0.70977357
1787220112.07459998 0.21295620 3.44725178 -0.07514903 0.00977339 -0.00790425 -0.72791118 0.68555621
1787220118.37454224 -0.84105073 3.36194416 -0.07868577 -0.01248082 0.01112491 0.99953728 0.02541062
1787220120.17456985 -1.82752706 3.83972159 -0.09385746 -0.01945119 0.01643938 0.97174407 0.23465904
1787220121.07469392 -2.31963561 4.79381976 -0.12462598 -0.02065278 0.02473316 0.75103422 0.65947656
1787220122.27485919 -2.32731080 5.79504451 -0.15182947 -0.01944145 0.01885030 0.71486122 0.69874182
1787220123.67462158 -2.13936823 6.80501492 -0.17200510 -0.02019437 0.02205928 0.61118128 0.79092542
1787220125.07449865 -1.99503453 8.12739756 -0.20863342 -0.02146817 0.01952661 0.67669223 0.73569386
1787220126.07460308 -2.56097009 9.66045921 -0.24938334 -0.02060991 0.02135265 0.92317206 0.38323967
1787220128.37471271 -3.99491953 10.56658542 -0.29232633 -0.01452233 0.03055603 0.99232847 0.11891025
1787220130.07449126 -5.97134808 10.40400304 -0.31500658 0.02328512 -0.02362505 -0.99765414 0.05988216
1787220131.77472806 -8.23895512 10.30268619 -0.29991332 0.01757854 -0.02807551 -0.99945001 0.00156069
1787220133.47460508 -9.70991830 9.78313165 -0.30491917 0.01686907 -0.01609578 -0.87808136 0.47794297
1787220135.17441750 -9.00369702 8.90515604 -0.30004145 0.00728454 0.00265633 -0.23207454 0.97266710
1787220136.17485690 -7.40435043 8.74647184 -0.27301795 -0.00625165 0.01077339 -0.01732166 0.99977238
1787220137.87442470 -5.64269697 8.73867194 -0.24462538 -0.00331062 0.00478259 0.01449342 0.99987805
1787220139.57444072 -4.02397355 8.34330391 -0.21644841 -0.00214566 0.01009462 -0.27992561 0.95996622
1787220141.87455487 -4.55231306 7.01140118 -0.19657756 0.02274327 -0.00713957 -0.97052470 0.23981987
1787220143.47447252 -5.85523342 7.14488420 -0.21378876 -0.02181074 0.01465556 0.99896016 0.03725729
1787220145.17556643 -7.31358685 7.33361117 -0.22026434 -0.01595651 0.01542437 0.99960463 0.01726429
1787220146.27437520 -8.45016976 6.66477749 -0.22713632 0.01211688 -0.01347442 -0.93219455 0.36150374
1787220148.57447600 -9.22721679 5.12754232 -0.18167130 0.01556364 -0.00803542 -0.81615133 0.57757269
1787220149.57446122 -9.14530075 3.31679563 -0.14030662 0.00674382 -0.00472529 -0.65205781 0.75812453
1787220151.87482262 -9.02614246 1.15582259 -0.09394231 0.00842092 -0.00208204 -0.68717188 0.72644309
1787220153.57436967 -7.53740454 0.43877046 -0.05251048 -0.00312373 0.01807209 0.21025888 0.97747371
1787220154.67435050 -7.34859924 2.49790427 -0.11355546 -0.01270092 0.02249043 0.75198184 0.65867760
1787220156.97428751 -7.43120087 4.78290557 -0.15862582 -0.01336364 0.02824131 0.71658498 0.69679969
1787220158.67442417 -8.02247304 6.60356796 -0.21435109 -0.01843558 0.03571963 0.96130160 0.27254994
1787220160.37432051 -9.04089086 5.45704515 -0.18439471 0.01714900 -0.01073571 -0.80699005 0.59021836
1787220161.37443709 -8.99499076 3.42005468 -0.15000493 0.01041711 -0.00933871 -0.66718942 0.74475671
1787220163.07430434 -8.73394912 1.08693665 -0.09261292 0.01002122 -0.00657691 -0.56354360 0.82599935
1787220165.47439003 -6.63804228 0.27944329 -0.03702761 0.00011055 0.01078442 -0.01095292 0.99988185
1787220167.07446337 -4.23653928 0.06380297 -0.03179686 -0.00333889 0.01024216 -0.01050175 0.99988683
