index,s_m,center_x_m,center_y_m,w_left_m,w_right_m,left_boundary_x_m,left_boundary_y_m,right_boundary_x_m,right_boundary_y_m
84,2.513226294,12.514664633,-1.867793804,0.600000000,0.600000000,11.929707885,-2.001306364,13.099621380,-1.734281243
85,2.543145655,12.507695641,-1.838697390,0.600000000,0.600000000,11.925725605,-1.984679842,13.089665678,-1.692714938
86,2.573065015,12.500106458,-1.809756546,0.600000000,0.600000000,11.921388929,-1.968142217,13.078823988,-1.651370875
87,2.602984376,12.491900550,-1.780984490,0.600000000,0.600000000,11.916699838,-1.951701042,13.067101262,-1.610267938
88,2.632903736,12.483081663,-1.752394362,0.600000000,0.600000000,11.911660474,-1.935363826,13.054502853,-1.569424899
89,2.662823097,12.473653827,-1.723999221,0.600000000,0.600000000,11.906273139,-1.919138031,13.041034515,-1.528860411
90,2.692742458,12.463621346,-1.695812035,0.600000000,0.600000000,11.900540293,-1.903031068,13.026702400,-1.488593002
91,2.722661818,12.452988804,-1.667845677,0.600000000,0.600000000,11.894464554,-1.887050292,13.011513053,-1.448641062
92,2.752581179,12.441761055,-1.640112920,0.600000000,0.600000000,11.888048698,-1.871203002,12.995473412,-1.409022838
93,2.782500540,12.429943228,-1.612626431,0.600000000,0.600000000,11.881295654,-1.855496437,12.978590802,-1.369756425
94,2.812419900,12.417540720,-1.585398762,0.600000000,0.600000000,11.874208507,-1.839937769,12.960872933,-1.330859755
95,2.842339261,12.404559196,-1.558442350,0.600000000,0.600000000,11.866790493,-1.824534105,12.942327899,-1.292350595
96,2.872258622,12.391004584,-1.531769505,0.600000000,0.600000000,11.859045001,-1.809292479,12.922964168,-1.254246531
97,2.902177982,12.376883076,-1.505392410,0.600000000,0.600000000,11.850975567,-1.794219853,12.902790585,-1.216564966
98,2.932097343,12.362201121,-1.479323111,0.600000000,0.600000000,11.842585879,-1.779323111,12.881816363,-1.179323111
99,2.962016704,12.346965424,-1.453573515,0.600000000,0.600000000,11.833879766,-1.764609056,12.860051082,-1.142537974
100,2.991936064,12.331182943,-1.428155383,0.600000000,0.600000000,11.824861206,-1.750084409,12.837504681,-1.106226357
101,3.021855425,12.314860888,-1.403080323,0.600000000,0.600000000,11.815534317,-1.735755804,12.814187459,-1.070404842
102,3.051774785,12.298006712,-1.378359787,0.600000000,0.600000000,11.805903359,-1.721629783,12.790110065,-1.035089791
103,3.081694146,12.280628113,-1.354005066,0.600000000,0.600000000,11.795972731,-1.707712800,12.765283495,-1.000297332
