s_m,x_m,y_m
7.591215371,8.794138558,0.139745008
7.613155300,8.813686078,0.141952271
7.635095228,8.833173373,0.144328469
7.657035157,8.852598677,0.146875884
7.678975086,8.871960176,0.149596771
7.700915015,8.891238904,0.152492633
7.722854944,8.910415361,0.155563876
7.744794873,8.929486859,0.158811054
7.766734801,8.948450668,0.162234665
7.788674730,8.967304018,0.165835149
7.810614659,8.986044109,0.169612850
7.832554588,9.004668168,0.173566968
7.854494517,9.023173499,0.177695388
7.876434445,9.041557430,0.181995864
7.898374374,9.059817322,0.186466090
7.920314303,9.077950575,0.191103696
7.942254232,9.095954654,0.195905999
7.964194161,9.113812307,0.200867618
7.986134090,9.131430746,0.205976989
8.008074018,9.148789933,0.211229479
8.030013947,9.165884699,0.216621497
8.051953876,9.182710017,0.222149180
8.073893805,9.199261103,0.227807843
8.095833734,9.215533509,0.233591689
8.117773662,9.231523093,0.239494585
8.139713591,9.247226055,0.245510144
8.161653520,9.262638981,0.251631732
8.183593449,9.277758900,0.257852430
8.205533378,9.292583391,0.264164711
8.227473307,9.307110609,0.270560659
8.249413235,9.321167823,0.277001642
8.271353164,9.334574155,0.283447174
8.293293093,9.347316734,0.289885217
8.315233022,9.359383882,0.296302236
8.337172951,9.370765377,0.302683352
8.359112879,9.381452807,0.309012202
8.381052808,9.391439911,0.315271005
8.402992737,9.400722935,0.321440688
8.424932666,9.409300981,0.327501115
8.446872595,9.417176166,0.333431958
8.468812524,9.424354023,0.339212692
8.490752452,9.430843985,0.344822442
8.512692381,9.436656626,0.350239198
8.534632310,9.441776132,0.355429242
8.556572239,9.446182082,0.360354336
8.578512168,9.449858764,0.364975832
8.600452096,9.452794748,0.369253322
8.622392025,9.454983646,0.373144723
8.644331954,9.456424827,0.376606719
8.666271883,9.457124117,0.379595403
8.688211812,9.457093876,0.382068054
8.710151741,9.456353651,0.383983787
8.732091669,9.454931295,0.385303611
8.754031598,9.452863508,0.385991609
8.775971527,9.450196224,0.386016323
8.797911456,9.447319994,0.385623567
8.819851385,9.444578418,0.385070903
8.841791313,9.441954723,0.384346940
8.863731242,9.439433315,0.383438056
8.885671171,9.437000106,0.382328641
8.907611100,9.434642780,0.381001377
8.929551029,9.432350254,0.379438220
8.951490958,9.430112694,0.377620690
8.973430886,9.427922615,0.375529326
8.995370815,9.425775170,0.373143999
9.017310744,9.423668361,0.370444306
9.039250673,9.421602998,0.367410140
9.061190602,9.419647201,0.364137215
9.083130530,9.418182327,0.361321064
9.105070459,9.417236125,0.359120130
9.127010388,9.416764986,0.357570981
9.148950317,9.416722426,0.356700175
9.170890246,9.417059848,0.356525104
9.192830175,9.417727316,0.357054768
9.214770103,9.418675227,0.358290207
9.236710032,9.419855120,0.360225294
9.258649961,9.421220262,0.362847552
9.280589890,9.422726014,0.366138951
9.302529819,9.424329756,0.370076723
9.324469747,9.425991307,0.374633949
9.346409676,9.427697972,0.379906880
9.368349605,9.429440741,0.386025159
9.390289534,9.431187572,0.393004480
9.412229463,9.432907767,0.400854833
9.434169392,9.434572620,0.409581209
9.456109320,9.436155545,0.419184369
9.478049249,9.437632321,0.429661552
9.499989178,9.438981288,0.441007152
9.521929107,9.440183566,0.453213354
9.543869036,9.441224110,0.466270690
9.565808964,9.442091343,0.480168660
9.587748893,9.442776458,0.494896275
9.609688822,9.443271201,0.510354139
9.631628751,9.443557863,0.526004639
9.653568680,9.443629492,0.541757149
9.675508609,9.443483277,0.557609600
9.697448537,9.443116831,0.573559807
9.719388466,9.442527830,0.589605488
9.741328395,9.441714014,0.605744267
9.763268324,9.440673294,0.621973694
9.785208253,9.439405500,0.638291319
9.807148181,9.437912127,0.654694755
9.829088110,9.436194789,0.671181654
9.851028039,9.434255155,0.687749713
9.872967968,9.432094956,0.704396671
9.894907897,9.429715698,0.721133350
9.916847826,9.427121241,0.737971092
9.938787754,9.424316934,0.754908548
9.960727683,9.421308188,0.771944505
9.982667612,9.418100470,0.789077882
10.004607541,9.414699335,0.806307735
10.026547470,9.411111346,0.823633349
10.048487398,9.407344214,0.841054285
10.070427327,9.403405758,0.858570274
10.092367256,9.399303836,0.876181212
10.114307185,9.395046351,0.893887152
10.136247114,9.390641325,0.911688306
10.158187042,9.386098607,0.929574956
10.180126971,9.381434467,0.947486871
10.202066900,9.376657861,0.965414724
10.224006829,9.371776355,0.983359453
10.245946758,9.366797501,1.001322101
10.267886687,9.361728598,1.019303786
10.289826615,9.356576561,1.037305660
10.311766544,9.351348262,1.055328962
10.333706473,9.346050564,1.073375017
10.355646402,9.340690317,1.091445233
10.377586331,9.335274236,1.109541072
10.399526259,9.329808036,1.127663895
10.421466188,9.324296956,1.145815030
10.443406117,9.318744206,1.164007091
10.465346046,9.313153177,1.182253006
10.487285975,9.307529361,1.200554629
10.509225904,9.301877659,1.218913729
10.531165832,9.296201729,1.237331839
10.553105761,9.290505084,1.255810459
10.575045690,9.284791247,1.274351091
10.596985619,9.279063754,1.292955230
10.618925548,9.273326055,1.311624345
10.640865476,9.267580512,1.330359659
10.662805405,9.261828786,1.349162216
10.684745334,9.256072548,1.368033032
10.706685263,9.250312311,1.386978405
10.728625192,9.244542983,1.406031424
10.750565121,9.238765411,1.425198896
10.772505049,9.232980731,1.444482073
10.794444978,9.227189961,1.463882109
10.816384907,9.221394179,1.483400105
10.838324836,9.215594518,1.503037111
10.860264765,9.209792147,1.522794123
10.882204693,9.203987862,1.542671986
10.904144622,9.198182151,1.562671412
10.926084551,9.192375548,1.582793065
10.948024480,9.186568644,1.603037569
10.969964409,9.180762090,1.623405510
10.991904338,9.174955739,1.643900862
11.013844266,9.169149434,1.664527631
11.035784195,9.163343901,1.685286402
11.057724124,9.157539931,1.706177729
11.079664053,9.151738376,1.727202142
11.101603982,9.145940154,1.748360152
11.123543910,9.140146312,1.769652265
11.145483839,9.134358035,1.791078991
11.167423768,9.128576574,1.812640829
11.189363697,9.122803239,1.834338266
11.211303626,9.117039403,1.856171781
11.233243555,9.111286522,1.878141853
11.255183483,9.105546012,1.900250113
11.277123412,9.099818166,1.922503762
11.299063341,9.094104834,1.944904410
11.321003270,9.088408212,1.967452554
11.342943199,9.082730559,1.990148699
11.364883127,9.077074255,2.012993368
11.386823056,9.071441832,2.035987116
11.408762985,9.065835893,2.059130502
11.430702914,9.060259108,2.082424099
11.452642843,9.054714208,2.105868486
11.474582772,9.049203993,2.129464250
11.496522700,9.043731342,2.153211992
11.518462629,9.038299208,2.177112323
11.540402558,9.032909888,2.201169332
11.562342487,9.027565938,2.225386998
11.584282416,9.022270792,2.249765796
11.606222344,9.017027961,2.274306219
11.628162273,9.011841036,2.299008784
11.650102202,9.006713678,2.323874027
11.672042131,9.001649621,2.348902503
11.693982060,8.996652672,2.374094780
11.715921989,8.991726719,2.399451443
11.737861917,8.986875816,2.424973107
11.759801846,8.982104155,2.450660403
11.781741775,8.977416001,2.476513968
11.803681704,8.972815796,2.502533812
11.825621633,8.968308506,2.528716700
11.847561561,8.963898684,2.555062401
11.869501490,8.959591154,2.581571362
11.891441419,8.955390873,2.608244048
11.913381348,8.951302880,2.635080922
11.935321277,8.947332291,2.662082448
11.957261206,8.943484332,2.689249084
11.979201134,8.939764748,2.716581328
12.001141063,8.936179752,2.744079692
12.023080992,8.932735652,2.771744644
12.045020921,8.929438846,2.799576600
12.066960850,8.926295815,2.827575916
12.088900778,8.923315095,2.855719985
12.110840707,8.920504767,2.883985962
12.132780636,8.917870736,2.912373754
12.154720565,8.915418973,2.940883191
12.176660494,8.913155510,2.969514025
12.198600423,8.911086462,2.998265925
12.220540351,8.909218648,3.027138497
12.242480280,8.907559688,3.056131252
12.264420209,8.906117304,3.085243555
12.286360138,8.904899273,3.114474617
12.308300067,8.903913430,3.143823483
12.330239995,8.903167807,3.173289029
12.352179924,8.902671183,3.202859504
