s_m,x_m,y_m
5.155883272,6.344432973,-1.012141772
5.177823201,6.366165640,-1.012873540
5.199763130,6.387911292,-1.013559231
5.221703059,6.409668732,-1.014198058
5.243642987,6.431430467,-1.014789134
5.265582916,6.453195285,-1.015332225
5.287522845,6.474963206,-1.015827827
5.309462774,6.496734245,-1.016276558
5.331402703,6.518508415,-1.016679033
5.353342631,6.540285726,-1.017035869
5.375282560,6.562066188,-1.017347716
5.397222489,6.583849783,-1.017615810
5.419162418,6.605636469,-1.017841897
5.441102347,6.627426203,-1.018027738
5.463042276,6.649218937,-1.018175095
5.484982204,6.671014621,-1.018285730
5.506922133,6.692803033,-1.018361254
5.528862062,6.714573950,-1.018404489
5.550801991,6.736327324,-1.018419012
5.572741920,6.758063111,-1.018408398
5.594681848,6.779781268,-1.018376221
5.616621777,6.801481754,-1.018326064
5.638561706,6.823164508,-1.018261898
5.660501635,6.844829447,-1.018188135
5.682441564,6.866476485,-1.018109210
5.704381493,6.888105528,-1.018029559
5.726321421,6.909716480,-1.017953613
5.748261350,6.931309234,-1.017885837
5.770201279,6.952883789,-1.017830888
5.792141208,6.974440739,-1.017793498
5.814081137,6.995980038,-1.017778353
5.836021065,7.017501504,-1.017790128
5.857960994,7.039004939,-1.017833495
5.879900923,7.060490144,-1.017912912
5.901840852,7.081956922,-1.018032512
5.923780781,7.103405063,-1.018196398
5.945720710,7.124834339,-1.018408669
5.967660638,7.146244507,-1.018673425
5.989600567,7.167635311,-1.018994648
6.011540496,7.189006528,-1.019375429
6.033480425,7.210357948,-1.019818431
6.055420354,7.231700637,-1.020326869
6.077360282,7.253045613,-1.020903455
6.099300211,7.274392578,-1.021550089
6.121240140,7.295741262,-1.022268093
6.143180069,7.317091473,-1.023057578
6.165119998,7.338443031,-1.023918504
6.187059927,7.359795755,-1.024850829
6.208999855,7.381149470,-1.025854511
6.230939784,7.402504004,-1.026929418
6.252879713,7.423859266,-1.028074366
6.274819642,7.445215217,-1.029287493
6.296759571,7.466571826,-1.030566925
6.318699499,7.487933061,-1.031911055
6.340639428,7.509322864,-1.033319199
6.362579357,7.530745319,-1.034788465
6.384519286,7.552200601,-1.036314930
6.406459215,7.573688914,-1.037894538
6.428399144,7.595210487,-1.039523226
6.450339072,7.616765564,-1.041196929
6.472279001,7.638354409,-1.042911574
6.494218930,7.659977303,-1.044663085
6.516158859,7.681634539,-1.046447383
6.538098788,7.703326423,-1.048260385
6.560038716,7.725053273,-1.050097999
6.581978645,7.746815416,-1.051956129
6.603918574,7.768624806,-1.053831625
6.625858503,7.790493407,-1.055721472
6.647798432,7.812421575,-1.057621762
6.669738361,7.834409671,-1.059528568
6.691678289,7.856458058,-1.061437946
6.713618218,7.878567101,-1.063345958
6.735558147,7.900737103,-1.065249415
6.757498076,7.922968303,-1.067145991
6.779438005,7.945260935,-1.069033393
6.801377933,7.967615236,-1.070909311
6.823317862,7.990031442,-1.072771414
6.845257791,8.012509777,-1.074617572
6.867197720,8.035050403,-1.076446853
6.889137649,8.057653554,-1.078258732
6.911077578,8.080319300,-1.080052650
6.933017506,8.103047695,-1.081828028
6.954957435,8.125838809,-1.083584278
6.976897364,8.148692691,-1.085321351
6.998837293,8.171609360,-1.087040046
7.020777222,8.194588860,-1.088741214
7.042717150,8.217631270,-1.090425694
7.064657079,8.240736704,-1.092094304
7.086597008,8.263905316,-1.093747912
7.108536937,8.287137270,-1.095387889
7.130476866,8.310432773,-1.097015837
7.152416794,8.333779288,-1.098632874
7.174356723,8.357164181,-1.100240837
7.196296652,8.380587595,-1.101842386
7.218236581,8.404049731,-1.103440183
7.240176510,8.427550847,-1.105036905
7.262116439,8.451091267,-1.106635222
7.284056367,8.474671375,-1.108237799
7.305996296,8.498291624,-1.109847290
7.327936225,8.521952536,-1.111466303
7.349876154,8.545654716,-1.113096987
7.371816083,8.569398840,-1.114741191
7.393756011,8.593185651,-1.116400747
7.415695940,8.617016576,-1.118077483
7.437635869,8.640896156,-1.119773156
7.459575798,8.664825898,-1.121488999
7.481515727,8.688806766,-1.123225198
7.503455656,8.712839788,-1.124981742
7.525395584,8.736926052,-1.126758599
7.547335513,8.761066707,-1.128555719
7.569275442,8.785262963,-1.130372964
7.591215371,8.809516079,-1.132209047
7.613155300,8.833827343,-1.134061676
7.635095228,8.858198073,-1.135928504
7.657035157,8.882629618,-1.137807161
7.678975086,8.907123353,-1.139695251
7.700915015,8.931697555,-1.141589190
7.722854944,8.956370581,-1.143482564
7.744794873,8.981143956,-1.145368665
7.766734801,9.006019213,-1.147240728
7.788674730,9.030997886,-1.149091932
7.810614659,9.056081502,-1.150915357
7.832554588,9.081271513,-1.152702855
7.854494517,9.106569245,-1.154444869
7.876434445,9.131975946,-1.156131707
7.898374374,9.157492778,-1.157753619
7.920314303,9.183120813,-1.159300798
7.942254232,9.208860995,-1.160763146
7.964194161,9.234728862,-1.162127814
7.986134090,9.260814231,-1.163372235
8.008074018,9.287133201,-1.164477182
8.030013947,9.313686887,-1.165424326
8.051953876,9.340476164,-1.166195080
8.073893805,9.367501597,-1.166770366
8.095833734,9.394763368,-1.167130486
8.117773662,9.422261268,-1.167255471
8.139713591,9.449994651,-1.167125122
8.161653520,9.477962382,-1.166719019
8.183593449,9.506162805,-1.166016628
8.205533378,9.534593795,-1.164997903
8.227473307,9.563252677,-1.163642955
8.249413235,9.592305141,-1.161898150
8.271353164,9.621916672,-1.159695535
8.293293093,9.652082956,-1.156992478
8.315233022,9.682798505,-1.153745634
8.337172951,9.714056621,-1.149911848
8.359112879,9.745848841,-1.145446747
8.381052808,9.778164583,-1.140304624
8.402992737,9.810990823,-1.134438565
8.424932666,9.844311805,-1.127800781
8.446872595,9.878109275,-1.120344592
