index,s_m,center_x_m,center_y_m,w_left_m,w_right_m,left_boundary_x_m,left_boundary_y_m,right_boundary_x_m,right_boundary_y_m
120,3.019461323,10.197376667,-0.334907046,0.600000000,0.600000000,10.053294616,-0.917350488,10.341458717,0.247536395
121,3.054996952,10.162860932,-0.326454533,0.600000000,0.600000000,10.021506220,-0.909565882,10.304215644,0.256656816
122,3.090668129,10.128174360,-0.318131396,0.600000000,0.600000000,9.989529359,-0.901892960,10.266819361,0.265630168
123,3.126472907,10.093319592,-0.309938270,0.600000000,0.600000000,9.957367075,-0.894332754,10.229272110,0.274456214
124,3.162409321,10.058299283,-0.301875779,0.600000000,0.600000000,9.925022418,-0.886886273,10.191576148,0.283134714
125,3.198475385,10.023116099,-0.293944538,0.600000000,0.600000000,9.892498444,-0.879554500,10.153733754,0.291665425
126,3.234669099,9.987772720,-0.286145148,0.600000000,0.600000000,9.859798219,-0.872338399,10.115747221,0.300048102
127,3.270988442,9.952271837,-0.278478206,0.600000000,0.600000000,9.826924814,-0.865238910,10.077618860,0.308282498
128,3.307431378,9.916616154,-0.270944295,0.600000000,0.600000000,9.793881308,-0.858256952,10.039351001,0.316368363
129,3.343995852,9.880808387,-0.263543988,0.600000000,0.600000000,9.760670786,-0.851393421,10.000945988,0.324305446
130,3.380679795,9.844851261,-0.256277848,0.600000000,0.600000000,9.727296341,-0.844649194,9.962406181,0.332093498
131,3.417481120,9.808747516,-0.249146431,0.600000000,0.600000000,9.693761072,-0.838025126,9.923733959,0.339732265
132,3.454397726,9.772499900,-0.242150277,0.600000000,0.600000000,9.660068086,-0.831522051,9.884931715,0.347221496
133,3.491427495,9.736111175,-0.235289921,0.600000000,0.600000000,9.626220495,-0.825140782,9.846001855,0.354560940
134,3.528568296,9.699584111,-0.228565885,0.600000000,0.600000000,9.592221417,-0.818882115,9.806946805,0.361750346
135,3.565817981,9.662921490,-0.221978680,0.600000000,0.600000000,9.558073977,-0.812746823,9.767769003,0.368789463
136,3.603174389,9.626126104,-0.215528808,0.600000000,0.600000000,9.523781308,-0.806735661,9.728470900,0.375678044
137,3.640635347,9.589200755,-0.209216762,0.600000000,0.600000000,9.489346546,-0.800849364,9.689054965,0.382415841
138,3.678198664,9.552148255,-0.203043020,0.600000000,0.600000000,9.454772834,-0.795088649,9.649523677,0.389002609
139,3.715862140,9.514971427,-0.197008054,0.600000000,0.600000000,9.420063320,-0.789454213,9.609879533,0.395438106
140,3.753623560,9.477673100,-0.191112322,0.600000000,0.600000000,9.385221161,-0.783946733,9.570125038,0.401722089
141,3.791480697,9.440256115,-0.185356275,0.600000000,0.600000000,9.350249515,-0.778566871,9.530262715,0.407854322
142,3.829431312,9.402723322,-0.179740350,0.600000000,0.600000000,9.315151549,-0.773315269,9.490295095,0.413834569
143,3.867473153,9.365077580,-0.174264975,0.600000000,0.600000000,9.279930433,-0.768192549,9.450224726,0.419662600
144,3.905603958,9.327321754,-0.168930566,0.600000000,0.600000000,9.244589343,-0.763199317,9.410054165,0.425338184
145,3.943821453,9.289458721,-0.163737531,0.600000000,0.600000000,9.209131460,-0.758336162,9.369785981,0.430861099
