#timestamp x y z qx qy qz qw
1787393445.35644078 4.96666071 6.78509248 -0.11493083 -0.01870248 0.03192231 0.64509512 0.76320605
1787393446.25639987 5.16171773 7.85287772 -0.15076529 -0.01780545 0.02569614 0.66784631 0.74364237
1787393447.15642190 5.08951969 8.90739616 -0.16813859 -0.02154352 0.02338594 0.77237965 0.63436476
1787393448.05631232 4.56855030 9.86044935 -0.19715842 -0.02110856 0.02823861 0.90140129 0.43154689
1787393448.95625281 3.66792134 10.45244417 -0.22570422 -0.02773468 0.02857477 0.98359887 0.17591912
1787393449.85645556 2.71324466 10.08308425 -0.22172759 0.01972852 -0.02065966 -0.94577865 0.32355325
1787393450.75634813 2.40333558 9.08636076 -0.20254194 0.01646541 -0.01209896 -0.77476599 0.63191785
1787393451.55627799 2.25848478 8.01388716 -0.18310583 0.01190320 -0.00721048 -0.71642074 0.69752967
1787393452.35479426 2.21312085 6.96237691 -0.14535361 0.01209959 -0.00519216 -0.70853910 0.70554871
1787393453.15632701 2.14534402 5.84282818 -0.11763411 0.01484633 -0.00095716 -0.72093659 0.69284132
1787393453.95624781 1.88600871 4.78022659 -0.08907996 0.02054212 -0.00407130 -0.80181795 0.59720132
1787393454.75629878 1.29002441 3.88966748 -0.08249410 0.01821323 -0.01030898 -0.89776261 0.43998215
1787393455.55619073 0.39511280 3.41874489 -0.07174652 0.01547176 -0.01086782 -0.98587469 0.16641396
1787393456.45624232 -0.59770962 3.89704190 -0.07887146 -0.02449285 0.01905225 0.93955316 0.34099411
1787393457.35617447 -0.67810265 4.98218297 -0.12816771 -0.02296213 0.02342006 0.65619815 0.75387547
1787393458.35627222 -0.41518862 6.06153109 -0.13876918 -0.01739349 0.02479331 0.62133597 0.78295873
1787393459.25632668 -0.18933078 7.09370795 -0.16109548 -0.02050653 0.02541301 0.65535766 0.75461248
1787393460.05629277 -0.24035555 8.22985335 -0.20460720 -0.02519442 0.02806718 0.75350921 0.65635459
1787393460.75632024 -0.66816953 9.22718915 -0.23239129 -0.02678001 0.02313507 0.87792670 0.47748541
1787393461.55618596 -1.42308883 9.89339514 -0.25684095 -0.02799156 0.02779027 0.94902696 0.31271714
1787393462.55620551 -2.45689964 10.25367282 -0.26634046 -0.01845078 0.02159740 0.99135206 0.12811795
1787393463.65613484 -3.49019412 10.23031679 -0.27395955 0.02248480 -0.02480063 -0.99796076 0.05434777
1787393464.55629778 -4.49362743 10.24899142 -0.28205718 -0.02574907 0.02483476 0.99935647 0.00261981
1787393465.45627308 -5.52584741 10.32899578 -0.30515446 -0.02549391 0.02452870 0.99869880 0.03673020
1787393466.35630774 -6.59001118 10.44888847 -0.30799462 -0.02655157 0.01597964 0.99824817 0.05040086
