#timestamp x y z qx qy qz qw
1787393232.95652461 -5.51661801 7.70198357 -0.23873771 0.02763095 -0.01823840 -0.99670329 0.07407056
1787393234.65578961 -6.56097782 7.66550394 -0.25247778 0.02115339 -0.01719218 -0.99936185 0.02308352
1787393236.05621433 -7.56909274 7.64300217 -0.25848341 0.02348766 -0.01937731 -0.99825597 0.05057528
1787393237.85621834 -9.07336035 6.97263874 -0.24801601 0.02415459 -0.01586008 -0.94718035 0.31939693
1787393239.35524201 -9.36118594 5.98209607 -0.22276325 0.01759863 -0.00721163 -0.76785110 0.64034598
1787393240.75659466 -9.39694938 4.91988797 -0.21179210 0.01106521 -0.00108742 -0.66301982 0.74851927
1787393242.15660691 -9.27438274 3.74108478 -0.17138551 0.00874119 -0.00322841 -0.66838953 0.74375305
1787393243.25647044 -8.91246074 1.53743250 -0.12336849 0.01370530 0.00184057 -0.53575689 0.84425904
1787393245.05619240 -7.10903811 1.47094191 -0.09350207 -0.00913977 0.02617214 0.35616193 0.93401293
1787393247.65653872 -7.05395737 3.54118196 -0.15261813 -0.02012726 0.02208149 0.71106216 0.70249406
1787393249.55657387 -7.15671934 6.52073468 -0.21456670 -0.01921313 0.03166479 0.84693891 0.53039860
1787393251.45655584 -8.93790017 5.92893592 -0.22650536 0.02071434 -0.00428346 -0.78764190 0.61577009
1787393253.35644722 -8.76692915 2.61238749 -0.13205264 0.00754145 0.00116639 -0.56953810 0.82192951
1787393255.25745535 -6.48540311 0.95591773 -0.07738532 -0.00291304 0.01724612 0.05529232 0.99831701
1787393256.35644817 -3.50041248 0.49968759 -0.04513013 -0.00272127 0.01183857 -0.09878604 0.99503455
1787393258.25640774 -0.42052706 0.06963918 0.00428795 0.00483300 0.01645553 -0.06246866 0.99789956
1787393260.15726471 2.20342480 -0.34624026 0.03657681 -0.00230314 0.00913808 -0.06926419 0.99755384
1787393262.75738502 3.48677557 -0.59913884 0.05659230 -0.00001281 0.01210094 -0.07750144 0.99691880
1787393291.55748439 4.46315708 -0.49698036 0.05724592 -0.00765574 0.02000502 0.05913942 0.99801990
1787393293.25627613 5.44991326 -0.39270959 0.07300996 -0.00790593 0.01769240 0.07219099 0.99720256
1787393343.65698981 4.41693253 -0.21116572 0.05457943 -0.00423672 0.01725299 -0.00982276 0.99979393
1787393345.35718513 3.34372773 -0.17499576 0.04650664 -0.00048235 0.01456754 -0.03843824 0.99915467
1787393346.65695190 1.89775445 -0.07054764 0.01977564 -0.00154958 0.01251817 -0.02091038 0.99970178
1787393347.65707660 0.89043624 -0.02708956 0.01481497 -0.00296635 0.01640168 -0.00956811 0.99981530
1787393349.55694246 -0.82428392 0.00444714 -0.00972961 0.00452586 0.01325263 0.00058796 0.99990176
